,CaseNumber,Country,Century,Year,Month,Type,Activities,Fatal,Sex,Age
3573,3573_South Africa,South Africa,XX,1962.0,Aug,Unprovoked,Fishing,N,,
3574,3574_USA,USA,XX,1962.0,Aug,Unprovoked,Fishing,Y,M,40.0
3575,3575_USA,USA,XX,1962.0,Aug,Unprovoked,ShoreActivities,N,M,24.0
3576,3576_Papua New Guinea,Papua New Guinea,XX,1962.0,Aug,Unprovoked,Spearfishing,Y,M,
3577,3577_Italy,Italy,XX,1962.0,Aug,Unprovoked,Diving,N,M,
3578,3578_Others,Others,XX,1962.0,Aug,Unprovoked,Fishing,N,M,23.0
3579,3579_USA,USA,XX,1962.0,Jul,Unprovoked,ShoreActivities,N,M,21.0
3580,3580_Others,Others,XX,1962.0,Jul,Provoked,Others,N,M,20.0
3581,3581_USA,USA,XX,1962.0,Jul,Provoked,Fishing,N,M,19.0
3582,3582_USA,USA,XX,1962.0,Jul,Unprovoked,ShoreActivities,N,M,41.0
3583,3583_USA,USA,XX,1962.0,Jul,Unprovoked,Others,N,M,13.0
3584,3584_Others,Others,XX,1962.0,Jul,,,N,,
3585,3585_USA,USA,XX,1962.0,Jun,,Others,Y,M,
3586,3586_South Africa,South Africa,XX,1962.0,Jun,Unprovoked,Others,N,,
3587,3587_USA,USA,XX,1962.0,Jun,Unprovoked,Others,N,M,11.0
3588,3588_USA,USA,XX,1962.0,Jun,Unprovoked,Others,N,M,31.0
3589,3589_USA,USA,XX,1962.0,Jun,Unprovoked,Others,Y,M,32.0
3590,3590_USA,USA,XX,1962.0,Jun,Unprovoked,Others,Y,M,35.0
3591,3591_Papua New Guinea,Papua New Guinea,XX,1962.0,Jun,Unprovoked,Others,Y,M,
3592,3592_USA,USA,XX,1962.0,Jun,Unprovoked,ShoreActivities,N,M,13.0
3593,3593_Australia,Australia,XX,1962.0,Jun,Unprovoked,Fishing,N,,
3594,3594_USA,USA,XX,1962.0,Jun,Provoked,Diving,N,M,55.0
3595,3595_USA,USA,XX,1962.0,Jun,Unprovoked,Diving,N,M,31.0
3596,3596_USA,USA,XX,1962.0,May,Unprovoked,,N,M,17.0
3597,3597_USA,USA,XX,1962.0,May,Unprovoked,Others,Y,,
3598,3598_Fiji,Fiji,XX,1962.0,May,Unprovoked,Fishing,N,,
3599,3599_Australia,Australia,XX,1962.0,Apr,Provoked,Fishing,N,,
3600,3600_Others,Others,XX,1962.0,Apr,Unprovoked,Swimming,N,M,16.0
3601,3601_South Africa,South Africa,XX,1962.0,Apr,Unprovoked,ShoreActivities,N,M,13.0
3602,3602_South Africa,South Africa,XX,1962.0,Apr,Provoked,Fishing,N,,
3603,3603_New Zealand,New Zealand,XX,1962.0,Mar,Provoked,,N,M,
3604,3604_Australia,Australia,XX,1962.0,Mar,Unprovoked,Fishing,N,,
3605,3605_Papua New Guinea,Papua New Guinea,XX,1962.0,Mar,Unprovoked,Swimming,Y,M,10.0
3606,3606_Papua New Guinea,Papua New Guinea,XX,1962.0,Feb,Unprovoked,Swimming,N,M,
3607,3607_New Zealand,New Zealand,XX,1962.0,Feb,Provoked,Swimming,N,M,15.0
3608,3608_Australia,Australia,XX,1962.0,Feb,Unprovoked,Fishing,N,M,
3609,3609_South Africa,South Africa,XX,1962.0,Feb,Unprovoked,Swimming,Y,M,22.0
3610,3610_South Africa,South Africa,XX,1962.0,Feb,Unprovoked,Swimming,Y,M,13.0
3611,3611_Australia,Australia,XX,1962.0,Feb,Unprovoked,Swimming,N,M,35.0
3612,3612_New Zealand,New Zealand,XX,1962.0,Feb,Unprovoked,Fishing,,,
3613,3613_Others,Others,XX,1962.0,Feb,Unprovoked,Swimming,Y,M,
3614,3614_New Zealand,New Zealand,XX,1962.0,Jan,Unprovoked,Others,N,M,18.0
3615,3615_Others,Others,XX,1962.0,Jan,Unprovoked,,,M,16.0
3616,3616_Australia,Australia,XX,1962.0,Jan,Provoked,Spearfishing,N,M,19.0
3617,3617_South Africa,South Africa,XX,1962.0,Jan,,Fishing,Y,M,40.0
3618,3618_New Zealand,New Zealand,XX,1962.0,Jan,Provoked,Fishing,N,,
3619,3619_New Zealand,New Zealand,XX,1962.0,Jan,Unprovoked,Spearfishing,N,M,44.0
3620,3620_USA,USA,XX,1962.0,Jan,Unprovoked,Spearfishing,N,M,29.0
3621,3621_Australia,Australia,XX,1962.0,Jan,Provoked,Spearfishing,N,,
3622,3622_Australia,Australia,XX,1962.0,Jan,Unprovoked,Surfing,N,M,19.0
3623,3623_Australia,Australia,XX,1962.0,Jan,Unprovoked,Fishing,N,,
3624,3624_Papua New Guinea,Papua New Guinea,XX,1962.0,Jan,Unprovoked,Spearfishing,N,M,24.0
3625,3625_New Zealand,New Zealand,XX,1962.0,Jan,Unprovoked,Fishing,N,F,54.0
3626,3626_Australia,Australia,XX,1962.0,Jan,Unprovoked,Fishing,N,,
3627,3627_Australia,Australia,XX,1962.0,Jan,,Swimming,Y,M,25.0
3628,3628_Australia,Australia,XX,1962.0,Jan,Provoked,Paddling,N,,
3629,3629_Australia,Australia,XX,1962.0,Jan,Unprovoked,Surfing,N,,
3630,3630_South Africa,South Africa,XX,1962.0,Jan,Unprovoked,Fishing,N,,
3631,3631_Australia,Australia,XX,1962.0,Jan,Provoked,Fishing,N,,
3632,3632_Others,Others,XX,1962.0,Jan,Unprovoked,Fishing,N,M,57.0
3633,3633_Others,Others,XX,1962.0,,Unprovoked,Others,N,F,
3634,3634_Others,Others,XX,1962.0,Jan,Unprovoked,,Y,,
3635,3635_Australia,Australia,XX,1962.0,,Unprovoked,Diving,N,M,
3636,3636_Australia,Australia,XX,1961.0,Dec,Unprovoked,ShoreActivities,Y,F,18.0
3637,3637_Australia,Australia,XX,1961.0,Dec,Unprovoked,ShoreActivities,N,M,24.0
3638,3638_South Africa,South Africa,XX,1961.0,Dec,Unprovoked,Swimming,N,M,18.0
3639,3639_Australia,Australia,XX,1961.0,Dec,Provoked,Spearfishing,N,M,23.0
3640,3640_Australia,Australia,XX,1961.0,Dec,Unprovoked,Fishing,N,,
3641,3641_Others,Others,XX,1961.0,Dec,Unprovoked,Swimming,N,M,20.0
3642,3642_Australia,Australia,XX,1961.0,Dec,Unprovoked,Surfing,Y,M,22.0
3643,3643_Australia,Australia,XX,1961.0,Dec,Unprovoked,Swimming,N,M,17.0
3644,3644_Mexico,Mexico,XX,1961.0,Nov,,,Y,,
3645,3645_Philippines,Philippines,XX,1961.0,Oct,Unprovoked,Others,N,M,
3646,3646_USA,USA,XX,1961.0,Oct,,Swimming,Y,M,45.0
3647,3647_Others,Others,XX,1961.0,Oct,Unprovoked,Paddling,N,M,
3648,3648_USA,USA,XX,1961.0,Oct,Unprovoked,,Y,M,45.0
3649,3649_USA,USA,XX,1961.0,Sep,Provoked,,N,M,16.0
3650,3650_Others,Others,XX,1961.0,Sep,Unprovoked,Swimming,Y,M,19.0
3651,3651_Others,Others,XX,1961.0,Sep,Provoked,Fishing,N,M,42.0
3652,3652_Others,Others,XX,1961.0,Sep,Unprovoked,Others,N,M,22.0
3653,3653_Others,Others,XX,1961.0,Sep,Unprovoked,Diving,N,M,
3654,3654_Italy,Italy,XX,1961.0,Sep,Provoked,Fishing,N,M,35.0
3655,3655_Australia,Australia,XX,1961.0,Sep,,Others,Y,,
3656,3656_USA,USA,XX,1961.0,Aug,Unprovoked,Swimming,N,M,16.0
3657,3657_USA,USA,XX,1961.0,Aug,Unprovoked,ShoreActivities,N,M,19.0
3658,3658_Others,Others,XX,1961.0,Aug,Unprovoked,Spearfishing,N,M,22.0
3659,3659_USA,USA,XX,1961.0,Aug,Unprovoked,Fishing,N,M,38.0
3660,3660_Papua New Guinea,Papua New Guinea,XX,1961.0,Aug,Provoked,Fishing,N,M,
3661,3661_USA,USA,XX,1961.0,Jul,Provoked,Spearfishing,N,M,57.0
3662,3662_Others,Others,XX,1971.0,Jul,Unprovoked,Swimming,N,M,16.0
3663,3663_Australia,Australia,XX,1961.0,Jul,Provoked,Fishing,N,,
3664,3664_Italy,Italy,XX,1961.0,Jul,Unprovoked,Spearfishing,N,M,21.0
3665,3665_Others,Others,XX,1961.0,Jul,Provoked,Fishing,Y,M,10.0
3666,3666_USA,USA,XX,1961.0,Jun,Unprovoked,Diving,Y,M,23.0
3667,3667_USA,USA,XX,1961.0,Jun,Unprovoked,ShoreActivities,N,M,25.0
3668,3668_USA,USA,XX,1961.0,Jun,Unprovoked,Spearfishing,N,M,
3669,3669_Others,Others,XX,1961.0,Jun,Unprovoked,Spearfishing,N,M,
3670,3670_Papua New Guinea,Papua New Guinea,XX,1961.0,Jun,Provoked,Fishing,N,M,19.0
3671,3671_USA,USA,XX,1961.0,May,Unprovoked,Diving,N,M,20.0
3672,3672_Others,Others,XX,1961.0,May,Unprovoked,Fishing,N,M,
3673,3673_USA,USA,XX,1961.0,May,Unprovoked,ShoreActivities,N,M,52.0
3674,3674_Australia,Australia,XX,1961.0,May,Provoked,Spearfishing,N,M,
3675,3675_USA,USA,XX,1961.0,Apr,,Others,N,M,10.0
3676,3676_Australia,Australia,XX,1961.0,Apr,Provoked,Spearfishing,N,M,
3677,3677_Others,Others,XX,1961.0,Apr,Unprovoked,Swimming,N,M,37.0
3678,3678_South Africa,South Africa,XX,1961.0,Apr,Provoked,Diving,N,M,
3679,3679_USA,USA,XX,1961.0,Apr,Unprovoked,Spearfishing,N,M,22.0
3680,3680_Australia,Australia,XX,1961.0,Apr,Provoked,Spearfishing,N,M,21.0
3681,3681_Australia,Australia,XX,1961.0,Apr,Unprovoked,Others,N,M,40.0
3682,3682_Others,Others,XX,1961.0,Apr,Unprovoked,Swimming,Y,M,38.0
3683,3683_Others,Others,XX,1961.0,Apr,Unprovoked,Others,Y,,
3684,3684_Australia,Australia,XX,1961.0,Apr,Unprovoked,Spearfishing,N,M,24.0
3685,3685_Australia,Australia,XX,1961.0,Apr,Provoked,Spearfishing,N,M,
3686,3686_Australia,Australia,XX,1961.0,Mar,Unprovoked,Spearfishing,N,M,24.0
3687,3687_Australia,Australia,XX,1961.0,Mar,Unprovoked,Swimming,N,M,24.0
3688,3688_Australia,Australia,XX,1961.0,Mar,Provoked,Fishing,N,F,
3689,3689_Australia,Australia,XX,1961.0,Mar,Unprovoked,Spearfishing,N,M,21.0
3690,3690_Others,Others,XX,1961.0,Mar,Unprovoked,Diving,N,M,33.0
3691,3691_South Africa,South Africa,XX,1961.0,Mar,Provoked,Fishing,N,M,44.0
3692,3692_Fiji,Fiji,XX,1961.0,Mar,Unprovoked,Swimming,N,M,
3693,3693_USA,USA,XX,1961.0,Feb,Provoked,Others,N,M,30.0
3694,3694_Australia,Australia,XX,1961.0,Feb,Unprovoked,ShoreActivities,N,F,
3695,3695_Others,Others,XX,1961.0,Feb,Unprovoked,,Y,M,
3696,3696_South Africa,South Africa,XX,1961.0,Feb,Unprovoked,Spearfishing,N,M,27.0
3697,3697_South Africa,South Africa,XX,1961.0,Feb,Unprovoked,Swimming,Y,M,14.0
3698,3698_Australia,Australia,XX,1961.0,Feb,Unprovoked,Fishing,N,M,
3699,3699_USA,USA,XX,1961.0,Feb,,,N,M,
3700,3700_South Africa,South Africa,XX,1961.0,Jan,Unprovoked,Fishing,N,,
3701,3701_South Africa,South Africa,XX,1961.0,Jan,Unprovoked,Swimming,N,M,15.0
3702,3702_Australia,Australia,XX,1961.0,Jan,Provoked,Fishing,N,M,27.0
3703,3703_South Africa,South Africa,XX,1961.0,Jan,Unprovoked,ShoreActivities,N,M,13.0
3704,3704_Others,Others,XX,1961.0,Jan,Unprovoked,Others,Y,,
3705,3705_Australia,Australia,XX,1961.0,Jan,Provoked,Fishing,N,M,
3706,3706_Others,Others,XX,1961.0,Jan,Unprovoked,Swimming,N,M,
3707,3707_South Africa,South Africa,XX,1961.0,Jan,Unprovoked,ShoreActivities,N,M,26.0
3708,3708_South Africa,South Africa,XX,1961.0,Jan,,,Y,,
3709,3709_Australia,Australia,XX,1961.0,Jan,Unprovoked,Others,N,,
3710,3710_Australia,Australia,XX,1961.0,,Unprovoked,Fishing,N,,
3711,3711_Others,Others,XX,1961.0,Jan,Unprovoked,Others,N,M,
3712,3712_New Caledonia,New Caledonia,XX,1961.0,,Unprovoked,Spearfishing,N,,
3713,3713_Others,Others,XX,1961.0,,Unprovoked,Diving,Y,M,20.0
3714,3714_USA,USA,XX,1961.0,,Unprovoked,Others,Y,,
