,CaseNumber,Country,Century,Year,Month,Type,Activities,Fatal,Sex,Age
0,0_USA,USA,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,16.0
1,1_USA,USA,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,36.0
2,2_USA,USA,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,43.0
3,3_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,
4,4_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,
5,5_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Fishing,N,,
6,6_USA,USA,XXI,2016.0,Sep,Unprovoked,ShoreActivities,N,M,60.0
7,7_USA,USA,XXI,2016.0,Sep,Unprovoked,Swimming,N,F,51.0
8,8_New Caledonia,New Caledonia,XXI,2016.0,Sep,Unprovoked,Surfing,Y,M,50.0
9,9_USA,USA,XXI,2016.0,Sep,Unprovoked,WaterSkiing,N,F,12.0
10,10_Australia,Australia,XXI,2016.0,Sep,Unprovoked,Surfing,N,M,
11,11_USA,USA,XXI,2016.0,Sep,Unprovoked,WaterSkiing,N,M,
12,12_USA,USA,XXI,2016.0,Sep,Unprovoked,Spearfishing,N,M,22.0
13,13_USA,USA,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,25.0
14,14_USA,USA,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,37.0
15,15_Reunion,Reunion,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,20.0
16,16_USA,USA,XXI,2016.0,Aug,Unprovoked,ShoreActivities,N,M,49.0
17,17_Bahamas,Bahamas,XXI,2016.0,Aug,Unprovoked,Freediving,N,M,15.0
18,18_USA,USA,XXI,2016.0,Aug,Unprovoked,WaterSkiing,N,M,21.0
19,19_USA,USA,XXI,2016.0,Aug,Unprovoked,Surfing,N,M,22.0
20,20_Others,Others,XXI,2016.0,Jul,Unprovoked,Swimming,N,M,40.0
21,21_Others,Others,XXI,2016.0,Jul,Unprovoked,Swimming,N,M,72.0
22,22_Australia,Australia,XXI,2016.0,Jul,Unprovoked,Paddling,N,M,
23,23_USA,USA,XXI,2016.0,Jul,Provoked,Others,N,M,43.0
24,24_Australia,Australia,XXI,2016.0,Jul,Unprovoked,Surfing,N,M,18.0
25,25_Others,Others,XXI,2016.0,Jul,Unprovoked,Surfing,N,M,29.0
26,26_Australia,Australia,XXI,2016.0,Jul,Unprovoked,Surfing,N,M,36.0
27,27_Bahamas,Bahamas,XXI,2016.0,Jul,Unprovoked,Spearfishing,N,M,
28,28_Australia,Australia,XXI,2016.0,Jul,Provoked,Fishing,N,M,31.0
29,29_USA,USA,XXI,2016.0,Jul,Unprovoked,Fishing,N,,
30,30_USA,USA,XXI,2016.0,Jul,Unprovoked,Surfing,N,F,
31,31_USA,USA,XXI,2016.0,Jul,Unprovoked,,N,F,11.0
32,32_USA,USA,XXI,2016.0,Jul,Unprovoked,Swimming,N,M,
33,33_Bahamas,Bahamas,XXI,2016.0,Jul,Unprovoked,Diving,N,M,
34,34_Others,Others,XXI,2016.0,Jul,Unprovoked,ShoreActivities,N,F,10.0
35,35_USA,USA,XXI,2016.0,Jul,Unprovoked,Fishing,N,M,
36,36_USA,USA,XXI,2016.0,Jul,Provoked,Fishing,N,M,59.0
37,37_USA,USA,XXI,2016.0,Jul,Unprovoked,Fishing,N,M,
38,38_USA,USA,XXI,2016.0,Jul,Unprovoked,Swimming,N,F,42.0
39,39_Australia,Australia,XXI,2016.0,Jul,Provoked,Fishing,N,M,34.0
40,40_USA,USA,XXI,2016.0,Jun,Unprovoked,,N,M,35.0
41,41_USA,USA,XXI,2016.0,Jun,Unprovoked,Surfing,N,M,11.0
42,42_Others,Others,XXI,2016.0,Jun,Unprovoked,Diving,N,M,59.0
43,43_South Africa,South Africa,XXI,2016.0,Jun,Unprovoked,Spearfishing,N,M,43.0
44,44_USA,USA,XXI,2016.0,Jun,Unprovoked,Swimming,N,M,42.0
45,45_USA,USA,XXI,2016.0,Jun,Unprovoked,ShoreActivities,N,M,
46,46_USA,USA,XXI,2016.0,Jun,Unprovoked,Surfing,N,M,
47,47_Australia,Australia,XXI,2016.0,Jun,Provoked,Spearfishing,N,M,19.0
48,48_USA,USA,XXI,2016.0,Jun,Unprovoked,Swimming,N,F,
49,49_USA,USA,XXI,2016.0,Jun,Unprovoked,ShoreActivities,N,M,19.0
50,50_USA,USA,XXI,2016.0,Jun,,Surfing,N,M,27.0
51,51_USA,USA,XXI,2016.0,Jun,Unprovoked,Swimming,N,M,64.0
52,52_Australia,Australia,XXI,2016.0,Jun,Unprovoked,Diving,Y,F,60.0
53,53_Others,Others,XXI,2016.0,Jun,Unprovoked,Swimming,N,M,23.0
54,54_Australia,Australia,XXI,2016.0,Jun,Unprovoked,Spearfishing,,M,
55,55_New Caledonia,New Caledonia,XXI,2016.0,Jun,Unprovoked,Surfing,N,M,
56,56_Australia,Australia,XXI,2016.0,May,Unprovoked,Surfing,Y,M,29.0
57,57_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,52.0
58,58_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,M,13.0
59,59_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,57.0
60,60_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,22.0
61,61_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,F,11.0
62,62_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,M,48.0
63,63_USA,USA,XXI,2016.0,May,Provoked,Others,N,F,23.0
64,64_USA,USA,XXI,2016.0,May,Unprovoked,Swimming,N,M,59.0
65,65_New Zealand,New Zealand,XXI,2016.0,May,Provoked,Fishing,N,M,39.0
66,66_Others,Others,XXI,2016.0,Apr,Unprovoked,Surfing,N,M,24.0
67,67_USA,USA,XXI,2016.0,Apr,Unprovoked,Surfing,N,M,15.0
68,68_South Africa,South Africa,XXI,2016.0,Apr,Unprovoked,WaterSkiing,N,M,
69,69_Australia,Australia,XXI,2016.0,Apr,Unprovoked,Swimming,N,M,12.0
70,70_Others,Others,XXI,2016.0,Apr,Provoked,Spearfishing,N,M,26.0
71,71_USA,USA,XXI,2016.0,Apr,Unprovoked,Spearfishing,N,M,26.0
72,72_New Caledonia,New Caledonia,XXI,2016.0,Apr,Unprovoked,ShoreActivities,Y,F,69.0
73,73_Others,Others,XXI,2016.0,Apr,,,N,M,60.0
74,74_USA,USA,XXI,2016.0,Apr,Unprovoked,Fishing,N,M,34.0
75,75_USA,USA,XXI,2016.0,Apr,,Others,N,M,
76,76_USA,USA,XXI,2016.0,Mar,Unprovoked,Freediving,N,F,46.0
77,77_Australia,Australia,XXI,2016.0,Mar,Unprovoked,Surfing,N,M,22.0
78,78_USA,USA,XXI,2016.0,Mar,Unprovoked,,N,M,
79,79_Australia,Australia,XXI,2016.0,Mar,Unprovoked,Surfing,N,M,41.0
80,80_Bahamas,Bahamas,XXI,2016.0,Mar,Provoked,,N,M,
81,81_USA,USA,XXI,2016.0,Mar,,Surfing,N,,
82,82_USA,USA,XXI,2016.0,Mar,Unprovoked,Surfing,N,M,19.0
83,83_Others,Others,XXI,2016.0,Mar,Unprovoked,Diving,Y,M,45.0
84,84_USA,USA,XXI,2016.0,Mar,Unprovoked,,N,M,12.0
85,85_Australia,Australia,XXI,2016.0,Mar,Unprovoked,Fishing,N,M,
86,86_Brazil,Brazil,XXI,2016.0,Mar,Unprovoked,Swimming,N,M,41.0
87,87_New Caledonia,New Caledonia,XXI,2016.0,Feb,Unprovoked,Surfing,N,M,21.0
88,88_New Caledonia,New Caledonia,XXI,2016.0,Feb,Unprovoked,Spearfishing,N,M,31.0
89,89_Others,Others,XXI,2016.0,Feb,Unprovoked,ShoreActivities,N,F,
90,90_Others,Others,XXI,2016.0,Feb,,Others,N,M,65.0
91,91_Australia,Australia,XXI,2016.0,Feb,,Surfing,N,M,
92,92_Australia,Australia,XXI,2016.0,Feb,Unprovoked,ShoreActivities,N,F,45.0
93,93_Australia,Australia,XXI,2016.0,Feb,Unprovoked,Windsurfing,N,M,40.0
94,94_South Africa,South Africa,XXI,2016.0,Jan,Unprovoked,Fishing,N,M,
95,95_USA,USA,XXI,2016.0,Jan,Unprovoked,Surfing,N,M,
96,96_USA,USA,XXI,2016.0,Jan,Unprovoked,Surfing,N,F,15.0
97,97_USA,USA,XXI,2016.0,Jan,Unprovoked,Spearfishing,N,M,
98,98_Others,Others,XXI,2016.0,Jan,Unprovoked,Fishing,N,M,
99,99_USA,USA,XXI,2016.0,Jan,Unprovoked,WaterSkiing,N,M,48.0
100,100_Australia,Australia,XXI,2016.0,Jan,Unprovoked,Surfing,N,M,
101,101_Australia,Australia,XXI,2016.0,Jan,Unprovoked,ShoreActivities,N,M,11.0
102,102_Australia,Australia,XXI,2016.0,Jan,Unprovoked,Spearfishing,N,M,31.0
103,103_South Africa,South Africa,XXI,2015.0,Dec,Unprovoked,Fishing,N,M,
104,104_Others,Others,XXI,2015.0,Dec,Unprovoked,Swimming,N,F,38.0
105,105_USA,USA,XXI,2015.0,Dec,Unprovoked,WaterSkiing,N,M,71.0
106,106_Australia,Australia,XXI,2015.0,Dec,Unprovoked,Surfing,N,M,43.0
107,107_Brazil,Brazil,XXI,2015.0,Dec,Unprovoked,Diving,N,M,32.0
108,108_Others,Others,XXI,2015.0,Dec,Unprovoked,Sinking,Y,M,58.0
109,109_Australia,Australia,XXI,2015.0,Dec,Unprovoked,Fishing,N,,
110,110_Bahamas,Bahamas,XXI,2015.0,Dec,Unprovoked,Fishing,N,M,26.0
111,111_South Africa,South Africa,XXI,2015.0,Dec,Unprovoked,Swimming,N,F,22.0
112,112_USA,USA,XXI,2015.0,Nov,Unprovoked,Surfing,N,M,
113,113_USA,USA,XXI,2015.0,Nov,Unprovoked,Swimming,N,F,
114,114_USA,USA,XXI,2015.0,Nov,Unprovoked,Surfing,N,M,28.0
115,115_Australia,Australia,XXI,2015.0,Nov,Unprovoked,Surfing,N,M,20.0
116,116_USA,USA,XXI,2015.0,Nov,,Surfing,N,F,
117,117_USA,USA,XXI,2015.0,Nov,Unprovoked,Swimming,N,M,54.0
118,118_USA,USA,XXI,2015.0,Nov,Unprovoked,ShoreActivities,N,F,28.0
119,119_Others,Others,XXI,2015.0,Nov,Unprovoked,Fishing,N,M,19.0
120,120_Australia,Australia,XXI,2015.0,Oct,Unprovoked,Spearfishing,N,M,50.0
121,121_USA,USA,XXI,2015.0,Oct,Unprovoked,WaterSkiing,N,M,10.0
122,122_South Africa,South Africa,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,42.0
123,123_USA,USA,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,21.0
124,124_USA,USA,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,21.0
125,125_Others,Others,XXI,2015.0,Oct,Unprovoked,Fishing,Y,F,35.0
126,126_USA,USA,XXI,2015.0,Oct,,Surfing,N,M,32.0
127,127_USA,USA,XXI,2015.0,Oct,Unprovoked,Swimming,N,M,44.0
128,128_USA,USA,XXI,2015.0,Oct,Unprovoked,Fishing,N,M,
129,129_USA,USA,XXI,2015.0,Oct,Unprovoked,WaterSkiing,N,F,
130,130_USA,USA,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,25.0
131,131_Others,Others,XXI,2015.0,Oct,Unprovoked,Fishing,N,M,
132,132_Australia,Australia,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,18.0
133,133_USA,USA,XXI,2015.0,Oct,Unprovoked,WaterSkiing,N,M,22.0
134,134_USA,USA,XXI,2015.0,Oct,Unprovoked,ShoreActivities,N,M,13.0
135,135_USA,USA,XXI,2015.0,Oct,Unprovoked,Surfing,N,M,14.0
136,136_USA,USA,XXI,2015.0,Sep,Unprovoked,Surfing,N,M,22.0
137,137_Australia,Australia,XXI,2015.0,Sep,Unprovoked,Freediving,N,F,
138,138_USA,USA,XXI,2015.0,Sep,Unprovoked,Fishing,N,M,
139,139_USA,USA,XXI,2015.0,Sep,Unprovoked,Surfing,N,M,14.0
140,140_USA,USA,XXI,2015.0,Sep,Unprovoked,Spearfishing,N,M,27.0
141,141_USA,USA,XXI,2015.0,Sep,Unprovoked,ShoreActivities,N,M,12.0
142,142_USA,USA,XXI,2015.0,Sep,Unprovoked,Others,N,M,16.0
143,143_USA,USA,XXI,2015.0,Sep,Unprovoked,Swimming,N,M,
144,144_USA,USA,XXI,2015.0,Sep,Unprovoked,Surfing,N,M,20.0
145,145_Australia,Australia,XXI,2015.0,Sep,Unprovoked,Surfing,N,M,42.0
146,146_USA,USA,XXI,2015.0,Sep,Unprovoked,Others,N,F,50.0
147,147_USA,USA,XXI,2015.0,Sep,Provoked,Fishing,N,M,29.0
148,148_Australia,Australia,XXI,2015.0,Sep,Unprovoked,WaterSkiing,N,M,62.0
149,149_USA,USA,XXI,2015.0,Sep,Unprovoked,,N,M,
150,150_Others,Others,XXI,2015.0,Sep,Unprovoked,ShoreActivities,N,F,37.0
151,151_Fiji,Fiji,XXI,2015.0,Sep,Unprovoked,Spearfishing,N,M,
152,152_USA,USA,XXI,2015.0,Aug,Unprovoked,Surfing,N,F,54.0
153,153_USA,USA,XXI,2015.0,Aug,Unprovoked,Surfing,N,M,21.0
154,154_USA,USA,XXI,2015.0,Aug,,,N,M,
155,155_Australia,Australia,XXI,2015.0,Aug,Unprovoked,Surfing,N,M,38.0
156,156_USA,USA,XXI,2015.0,Aug,Unprovoked,Surfing,N,M,15.0
157,157_USA,USA,XXI,2015.0,Aug,Unprovoked,ShoreActivities,N,F,10.0
158,158_USA,USA,XXI,2015.0,Aug,Unprovoked,Fishing,N,M,22.0
159,159_Others,Others,XXI,2015.0,Aug,,Swimming,N,M,10.0
160,160_USA,USA,XXI,2015.0,Aug,Provoked,Spearfishing,N,M,57.0
161,161_Australia,Australia,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,52.0
162,162_USA,USA,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,25.0
163,163_USA,USA,XXI,2015.0,Jul,,Swimming,N,F,35.0
164,164_Australia,Australia,XXI,2015.0,Jul,Unprovoked,Diving,Y,M,46.0
165,165_USA,USA,XXI,2015.0,Jul,Provoked,Fishing,N,M,31.0
166,166_Australia,Australia,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,40.0
167,167_Reunion,Reunion,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,45.0
168,168_South Africa,South Africa,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,34.0
169,169_USA,USA,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,38.0
170,170_USA,USA,XXI,2015.0,Jul,,Swimming,N,M,39.0
171,171_Others,Others,XXI,2015.0,Jul,,Swimming,N,M,
172,172_Bahamas,Bahamas,XXI,2015.0,Jul,Unprovoked,Spearfishing,N,F,23.0
173,173_USA,USA,XXI,2015.0,Jul,Unprovoked,,N,M,32.0
174,174_Australia,Australia,XXI,2015.0,Jul,Unprovoked,Surfing,N,M,52.0
175,175_Australia,Australia,XXI,2015.0,Jul,Unprovoked,WaterSkiing,N,M,32.0
176,176_USA,USA,XXI,2015.0,Jul,Unprovoked,Swimming,N,M,68.0
177,177_Australia,Australia,XXI,2015.0,Jun,Unprovoked,Surfing,N,M,
178,178_USA,USA,XXI,2015.0,Jun,Unprovoked,ShoreActivities,N,M,12.0
179,179_USA,USA,XXI,2015.0,Jun,Unprovoked,Swimming,N,M,18.0
180,180_South Africa,South Africa,XXI,2015.0,Jun,Unprovoked,WaterSkiing,N,M,19.0
181,181_USA,USA,XXI,2015.0,Jun,,Swimming,N,F,
182,182_South Africa,South Africa,XXI,2015.0,Jun,Unprovoked,Surfing,N,M,23.0
183,183_USA,USA,XXI,2015.0,Jun,Unprovoked,ShoreActivities,N,M,43.0
184,184_Australia,Australia,XXI,2015.0,Jun,Provoked,Swimming,N,M,19.0
185,185_USA,USA,XXI,2015.0,Jun,Unprovoked,Surfing,N,M,47.0
186,186_USA,USA,XXI,2015.0,Jun,Unprovoked,Swimming,N,M,
187,187_Australia,Australia,XXI,2015.0,Jun,,Surfing,N,F,37.0
188,188_USA,USA,XXI,2015.0,Jun,Unprovoked,ShoreActivities,N,M,
189,189_Others,Others,XXI,2015.0,Jun,Unprovoked,Spearfishing,N,M,36.0
190,190_USA,USA,XXI,2015.0,Jun,Unprovoked,Swimming,N,M,10.0
191,191_USA,USA,XXI,2015.0,Jun,Unprovoked,ShoreActivities,N,M,16.0
192,192_USA,USA,XXI,2015.0,Jun,Unprovoked,ShoreActivities,N,F,12.0
193,193_USA,USA,XXI,2015.0,Jun,Unprovoked,,N,F,
194,194_USA,USA,XXI,2015.0,Jun,Unprovoked,WaterSkiing,N,F,13.0
195,195_USA,USA,XXI,2015.0,Jun,Unprovoked,ShoreActivities,N,M,11.0
196,196_USA,USA,XXI,2015.0,Jun,Unprovoked,Others,N,F,17.0
197,197_Reunion,Reunion,XXI,2015.0,Jun,Unprovoked,Surfing,N,M,47.0
198,198_USA,USA,XXI,2015.0,May,Unprovoked,ShoreActivities,N,F,14.0
199,199_USA,USA,XXI,2015.0,May,Unprovoked,ShoreActivities,N,F,19.0
200,200_Others,Others,XXI,2015.0,May,Unprovoked,Spearfishing,N,M,19.0
201,201_USA,USA,XXI,2015.0,May,Unprovoked,Swimming,N,F,13.0
202,202_USA,USA,XXI,2015.0,May,Unprovoked,Surfing,N,M,18.0
203,203_USA,USA,XXI,2015.0,May,Unprovoked,,N,M,30.0
204,204_New Caledonia,New Caledonia,XXI,2015.0,May,Unprovoked,Freediving,Y,M,50.0
205,205_USA,USA,XXI,2015.0,May,Unprovoked,Swimming,N,M,
206,206_Australia,Australia,XXI,2015.0,May,Unprovoked,Surfing,N,M,
207,207_South Africa,South Africa,XXI,2015.0,May,Unprovoked,Diving,N,M,29.0
208,208_USA,USA,XXI,2015.0,Apr,Unprovoked,Freediving,Y,F,65.0
209,209_USA,USA,XXI,2015.0,Apr,Unprovoked,ShoreActivities,N,M,63.0
210,210_Australia,Australia,XXI,2015.0,Apr,Unprovoked,Surfing,N,M,26.0
211,211_Australia,Australia,XXI,2015.0,Jun,Unprovoked,WaterSkiing,N,M,71.0
212,212_USA,USA,XXI,2015.0,Apr,Unprovoked,Others,N,M,48.0
213,213_Australia,Australia,XXI,2015.0,Apr,Unprovoked,WaterSkiing,N,M,
214,214_Reunion,Reunion,XXI,2015.0,Apr,Unprovoked,Surfing,Y,M,13.0
215,215_Brazil,Brazil,XXI,2015.0,Mar,,Surfing,N,M,23.0
216,216_USA,USA,XXI,2015.0,Apr,Unprovoked,Spearfishing,N,M,70.0
217,217_Italy,Italy,XXI,2015.0,Mar,,Diving,Y,M,43.0
218,218_South Africa,South Africa,XXI,2015.0,Mar,Unprovoked,Fishing,N,M,36.0
219,219_Others,Others,XXI,2015.0,Mar,Unprovoked,Swimming,Y,M,52.0
220,220_USA,USA,XXI,2015.0,Mar,Unprovoked,ShoreActivities,N,M,58.0
221,221_Others,Others,XXI,2015.0,Mar,Unprovoked,Others,N,M,
222,222_Australia,Australia,XXI,2015.0,Mar,Unprovoked,Fishing,N,M,
223,223_Mexico,Mexico,XXI,2015.0,Mar,Provoked,Fishing,N,M,36.0
224,224_Others,Others,XXI,2015.0,Mar,Unprovoked,ShoreActivities,N,M,18.0
225,225_Others,Others,XXI,2015.0,Feb,Unprovoked,Paddling,N,,
226,226_Reunion,Reunion,XXI,2015.0,Feb,Unprovoked,Swimming,Y,F,22.0
227,227_Australia,Australia,XXI,2015.0,Feb,Unprovoked,Surfing,Y,M,41.0
228,228_Australia,Australia,XXI,2015.0,Feb,Unprovoked,Surfing,N,M,35.0
229,229_Australia,Australia,XXI,2015.0,Feb,Unprovoked,Others,N,M,
230,230_Australia,Australia,XXI,2015.0,Jan,Unprovoked,Paddling,N,M,57.0
231,231_USA,USA,XXI,2015.0,Jan,Provoked,Fishing,N,M,20.0
232,232_Australia,Australia,XXI,2015.0,Jan,Unprovoked,Surfing,N,M,
233,233_USA,USA,XXI,2015.0,Jan,Unprovoked,Fishing,N,M,
234,234_Australia,Australia,XXI,2015.0,Jan,,Surfing,N,F,
235,235_Australia,Australia,XXI,2015.0,Jan,Unprovoked,Fishing,N,M,
236,236_Australia,Australia,XXI,2015.0,Jan,Unprovoked,Others,N,M,17.0
237,237_USA,USA,XXI,2015.0,Jan,,Swimming,N,M,38.0
238,238_Bahamas,Bahamas,XXI,2015.0,Jan,Unprovoked,Freediving,N,F,34.0
239,239_South Africa,South Africa,XXI,2015.0,Jan,Unprovoked,Surfing,N,M,15.0
240,240_USA,USA,XXI,2015.0,Jan,Unprovoked,,N,M,12.0
241,241_Australia,Australia,XXI,2014.0,Dec,Unprovoked,Surfing,N,,
242,242_Australia,Australia,XXI,2014.0,Dec,Unprovoked,Spearfishing,Y,M,17.0
243,243_Others,Others,XXI,2014.0,Dec,Unprovoked,,N,,
244,244_South Africa,South Africa,XXI,2014.0,Dec,,Swimming,N,,
245,245_USA,USA,XXI,2014.0,Dec,Unprovoked,Surfing,N,M,50.0
246,246_Australia,Australia,XXI,2014.0,Dec,Provoked,Fishing,N,M,40.0
247,247_Others,Others,XXI,2014.0,Dec,Unprovoked,Diving,N,M,
248,248_Australia,Australia,XXI,2014.0,Dec,Unprovoked,Spearfishing,Y,M,17.0
249,249_Others,Others,XXI,2014.0,Dec,Provoked,Fishing,N,M,
250,250_Australia,Australia,XXI,2014.0,Nov,Unprovoked,Surfing,N,M,13.0
251,251_Others,Others,XXI,2014.0,Nov,Provoked,Fishing,Y,M,39.0
252,252_Australia,Australia,XXI,2014.0,Nov,Unprovoked,Fishing,N,M,
253,253_USA,USA,XXI,2014.0,Nov,Unprovoked,Surfing,N,M,44.0
254,254_USA,USA,XXI,2014.0,Nov,Unprovoked,,N,,
255,255_USA,USA,XXI,2014.0,Nov,Unprovoked,Freediving,N,M,53.0
256,256_Australia,Australia,XXI,2014.0,Nov,Unprovoked,Surfing,N,M,
257,257_USA,USA,XXI,2014.0,Nov,Unprovoked,Surfing,N,M,18.0
258,258_USA,USA,XXI,2014.0,Oct,Unprovoked,Surfing,N,F,34.0
259,259_Australia,Australia,XXI,2014.0,Oct,Provoked,Surfing,N,M,20.0
260,260_USA,USA,XXI,2014.0,Oct,Unprovoked,Others,N,F,
261,261_USA,USA,XXI,2014.0,Oct,Unprovoked,Others,N,M,
262,262_USA,USA,XXI,2014.0,Oct,Unprovoked,Paddling,N,F,
263,263_USA,USA,XXI,2014.0,Oct,Unprovoked,Surfing,N,M,
264,264_Australia,Australia,XXI,2014.0,Oct,Unprovoked,Surfing,N,F,13.0
265,265_USA,USA,XXI,2014.0,Oct,Unprovoked,ShoreActivities,N,F,
266,266_USA,USA,XXI,2014.0,Oct,Unprovoked,Surfing,N,F,
267,267_USA,USA,XXI,2014.0,Oct,Unprovoked,Fishing,N,F,40.0
268,268_Australia,Australia,XXI,2014.0,Oct,Unprovoked,Paddling,N,M,
269,269_USA,USA,XXI,2014.0,Oct,Unprovoked,Surfing,N,M,29.0
270,270_USA,USA,XXI,2014.0,Oct,Unprovoked,Surfing,N,M,15.0
271,271_USA,USA,XXI,2014.0,Oct,Unprovoked,Paddling,N,M,
272,272_USA,USA,XXI,2014.0,Oct,Unprovoked,Paddling,N,M,
273,273_USA,USA,XXI,2014.0,Oct,Unprovoked,Surfing,N,M,28.0
274,274_Australia,Australia,XXI,2014.0,Oct,Unprovoked,Surfing,N,M,23.0
275,275_USA,USA,XXI,2014.0,Sep,Unprovoked,Surfing,N,M,
276,276_Others,Others,XXI,2014.0,Sep,Unprovoked,Others,N,F,36.0
277,277_USA,USA,XXI,2014.0,Sep,,Surfing,N,M,
278,278_Australia,Australia,XXI,2014.0,Sep,Unprovoked,Swimming,Y,M,50.0
279,279_USA,USA,XXI,2014.0,Sep,Unprovoked,Fishing,N,M,43.0
280,280_USA,USA,XXI,2014.0,Sep,Unprovoked,Paddling,N,F,20.0
281,281_USA,USA,XXI,2014.0,Sep,Provoked,Fishing,N,M,52.0
282,282_Others,Others,XXI,2014.0,Sep,Unprovoked,ShoreActivities,N,M,16.0
283,283_USA,USA,XXI,2014.0,Aug,Unprovoked,Surfing,N,F,13.0
284,284_USA,USA,XXI,2014.0,Aug,Unprovoked,Surfing,N,M,17.0
285,285_USA,USA,XXI,2014.0,Aug,,,N,,
286,286_USA,USA,XXI,2014.0,Aug,Provoked,Fishing,N,M,33.0
287,287_Others,Others,XXI,2014.0,Aug,Unprovoked,Swimming,N,F,30.0
288,288_USA,USA,XXI,2014.0,Aug,Unprovoked,Surfing,N,M,29.0
289,289_USA,USA,XXI,2014.0,Aug,Unprovoked,ShoreActivities,N,F,
290,290_USA,USA,XXI,2014.0,Aug,Provoked,Fishing,N,M,
291,291_USA,USA,XXI,2014.0,Aug,Unprovoked,WaterSkiing,N,,
292,292_Australia,Australia,XXI,2014.0,Aug,Unprovoked,Spearfishing,N,M,31.0
293,293_USA,USA,XXI,2014.0,Aug,Unprovoked,ShoreActivities,N,M,
294,294_USA,USA,XXI,2014.0,Aug,Unprovoked,,N,M,26.0
295,295_Bahamas,Bahamas,XXI,2014.0,Aug,Unprovoked,Spearfishing,N,M,
296,296_USA,USA,XXI,2014.0,Aug,Unprovoked,Swimming,N,F,10.0
297,297_USA,USA,XXI,2014.0,Aug,Unprovoked,Swimming,N,M,
298,298_USA,USA,XXI,2014.0,Aug,Unprovoked,WaterSkiing,N,M,10.0
299,299_USA,USA,XXI,2014.0,Aug,Unprovoked,Swimming,N,F,45.0
300,300_USA,USA,XXI,2014.0,Aug,Unprovoked,Surfing,N,M,50.0
301,301_USA,USA,XXI,2014.0,Aug,Unprovoked,WaterSkiing,N,M,
302,302_South Africa,South Africa,XXI,2014.0,Aug,Unprovoked,Surfing,N,M,20.0
303,303_Others,Others,XXI,2014.0,Aug,,Sinking,Y,M,
304,304_USA,USA,XXI,2014.0,Jul,Unprovoked,Swimming,N,M,
305,305_Reunion,Reunion,XXI,2014.0,Jul,Unprovoked,Surfing,N,M,51.0
306,306_USA,USA,XXI,2014.0,Jul,Unprovoked,ShoreActivities,N,M,
307,307_Others,Others,XXI,2014.0,Jul,Unprovoked,ShoreActivities,N,,
308,308_USA,USA,XXI,2014.0,Jul,Unprovoked,Swimming,N,M,61.0
309,309_USA,USA,XXI,2014.0,Jul,Unprovoked,Swimming,N,M,39.0
310,310_Bahamas,Bahamas,XXI,2014.0,Jul,,Diving,Y,M,63.0
311,311_USA,USA,XXI,2014.0,Jul,Unprovoked,Surfing,N,M,
312,312_USA,USA,XXI,2014.0,Jul,Unprovoked,Surfing,N,M,14.0
313,313_USA,USA,XXI,2014.0,Jul,Provoked,Swimming,N,M,
314,314_USA,USA,XXI,2014.0,Jul,Unprovoked,Surfing,N,M,
315,315_USA,USA,XXI,2014.0,Jul,Unprovoked,Surfing,N,M,19.0
316,316_Others,Others,XXI,2014.0,Jun,Unprovoked,Paddling,N,M,48.0
317,317_Bahamas,Bahamas,XXI,2014.0,Jun,Unprovoked,Spearfishing,N,M,42.0
318,318_Australia,Australia,XXI,2014.0,Jun,Unprovoked,Surfing,N,M,
319,319_Australia,Australia,XXI,2014.0,Jun,Unprovoked,WaterSkiing,N,M,15.0
320,320_Australia,Australia,XXI,2014.0,Jun,Provoked,Others,N,M,
321,321_Brazil,Brazil,XXI,2014.0,Jun,Unprovoked,Fishing,N,M,43.0
322,322_USA,USA,XXI,2014.0,Jun,Unprovoked,ShoreActivities,N,M,16.0
323,323_Australia,Australia,XXI,2014.0,Jun,Unprovoked,WaterSkiing,N,M,39.0
324,324_Others,Others,XXI,2014.0,Jun,Unprovoked,Surfing,N,M,43.0
325,325_USA,USA,XXI,2014.0,Jun,Unprovoked,Others,N,F,14.0
